ID,English,词性,日文释义,中文翻译,英文例句,例句日文,例句中文,熟语/搭配,重要度,复习次数,错误次数,出现频率,反义词,反义词日语翻译,近义词,近义词日语翻译
142,result,名词,結果、成果,结果；成果,"As a result, we finished the work early.",その結果、私たちは早く仕事を終えました。,结果我们提前完成了工作。,as a result,A,0,0,A,,,,
143,chance,名词,機会,机会,This is your last chance to try.,これはあなたが挑戦する最後の機会です。,这是你尝试的最后机会。,the last chance to try,A,0,0,A,,,,
144,clothes,名词,衣服,衣服,Put on warm clothes before you go out.,出かける前に暖かい服を着なさい。,出门前穿上暖和的衣服。,put on clothes,A,0,0,A,,,,
145,couple,名词,2つ、カップル、一対,一对；几个；夫妇,A couple of students were absent today.,今日は二、三人の生徒が欠席しました。,今天有两三个学生缺席了。,a couple of days,A,0,0,A,,,,
146,experience,名词,経験,经验；经历,She has experience in teaching children.,彼女には子どもを教えた経験があります。,她有教孩子的经验。,have experience in,A,0,0,A,,,,
147,fact,名词,事実,事实,"In fact, I have already finished it.",実は、私はもうそれを終えました。,事实上，我已经完成了。,in fact,A,0,0,A,,,,
148,future,名词,将来、未来,将来；未来,I want to be a doctor in the future.,私は将来医者になりたいです。,我将来想成为医生。,in the future,A,0,0,A,,,,
149,Internet,名词,インターネット,互联网,I found the answer on the Internet.,私はインターネットで答えを見つけました。,我在网上找到了答案。,on the Internet,A,0,0,A,,,,
150,ma'am,名词,奥様、お嬢様、先生,女士；夫人,"May I help you, ma'am?",奥様、何かお手伝いしましょうか。,女士，需要我帮忙吗？,"May I help you, ma'am?",A,0,0,A,,,,
151,puppet,名词,操り人形,木偶；玩偶,The children enjoyed the puppet show.,子どもたちは操り人形の劇を楽しみました。,孩子们很喜欢木偶戏。,a puppet show,A,0,0,A,,,,
152,accident,名词,事故、偶然,事故；意外,A car accident happened near the school.,学校の近くで自動車事故が起こりました。,学校附近发生了一起车祸。,cause a car accident,A,0,0,A,,,,
153,century,名词,1世紀、100年,世纪；一百年,This castle was built in the 16th century.,この城は16世紀に建てられました。,这座城堡建于16世纪。,in the 20th century,A,0,0,A,,,,
154,front,名词,前部、正面、前線,前面；正面,Please sit in the front of the bus.,バスの前の方に座ってください。,请坐在公交车前面。,in the front of,A,0,0,A,,,,
155,guest,名词,客、宿泊客、招待客,客人；来宾,We welcomed a guest from Canada.,私たちはカナダからの客を迎えました。,我们接待了一位来自加拿大的客人。,a hotel guest,A,0,0,A,,,,
156,professor,名词,教授,教授,Professor White teaches history.,ホワイト教授は歴史を教えています。,怀特教授教历史。,Professor John White,A,0,0,A,,,,
157,sale,名词,販売、特売、セール,销售；特卖,This house is for sale.,この家は売り出し中です。,这栋房子正在出售。,for sale,A,0,0,A,,,,
158,traffic,名词,交通量,交通；车流,There is heavy traffic this morning.,今朝は交通量が多いです。,今天早上交通很拥堵。,heavy traffic,A,0,0,A,,,,
159,vehicle,名词,車、乗り物,车辆；交通工具,Electric vehicles are becoming popular.,電気自動車が人気になっています。,电动车越来越受欢迎。,motor vehicles,A,0,0,A,,,,
160,character,名词,登場人物、特徴、性格,角色；特征；性格,The main character is brave and kind.,主人公は勇敢で親切です。,主人公勇敢又善良。,the main character,A,0,0,A,,,,
161,gift,名词,才能、贈り物,才能；礼物,She has a special gift for music.,彼女には音楽の特別な才能があります。,她有特殊的音乐才能。,a special gift for music,A,0,0,A,,,,
162,mistake,名词,間違い、誤り,错误,Everyone can make a mistake.,誰でも間違えることがあります。,每个人都会犯错。,make a mistake,A,0,0,A,,,,
163,passenger,名词,乗客,乘客,The passengers waited quietly on the train.,乗客たちは電車の中で静かに待ちました。,乘客们在车上安静地等待。,a passenger list,A,0,0,A,,,,
164,shelter,名词,避難所、住まい,避难所；住所,The school became an emergency shelter.,その学校は緊急避難所になりました。,那所学校成了紧急避难所。,emergency shelter,A,0,0,A,,,,
165,sunlight,名词,日光,阳光,The room was full of bright sunlight.,部屋は明るい日光でいっぱいでした。,房间里充满了明亮的阳光。,bright sunlight,A,0,0,A,,,,
166,trouble,名词,トラブル、悩み、もめごと,麻烦；问题；纠纷,His careless words caused a lot of trouble.,彼の不注意な言葉が多くのトラブルを引き起こしました。,他不小心的话引起了很多麻烦。,cause trouble,A,0,0,A,,,,
167,address,名词,住所、演説,地址；演讲,Please write your present address here.,ここに現在の住所を書いてください。,请在这里写下现住址。,present address,A,0,0,A,,,,
168,audience,名词,観衆、聴衆,观众；听众,There was a large audience at the concert.,コンサートには大勢の観客がいました。,音乐会上有很多观众。,a large audience,A,0,0,A,,,,
169,co-worker,名词,同僚、協力者,同事；合作者,I had lunch with a co-worker.,私は同僚と昼食を食べました。,我和同事一起吃了午饭。,a co-worker at my office,A,0,0,A,,,,
170,dinosaur,名词,恐竜,恐龙,My son is interested in dinosaurs.,私の息子は恐竜に興味があります。,我儿子对恐龙感兴趣。,be interested in dinosaurs,A,0,0,A,,,,
171,expert,名词,専門家,专家,"According to experts, sleep is important.",専門家によると、睡眠は大切です。,据专家说，睡眠很重要。,according to experts,A,0,0,A,,,,
172,honey,名词,あなた、おまえ、はちみつ,亲爱的；蜂蜜,"Give me a hand, honey.",あなた、ちょっと手伝ってください。,亲爱的，帮我一下。,give me a hand,A,0,0,A,,,,
173,method,名词,方法,方法,This teaching method is easy to understand.,この教授法は理解しやすいです。,这种教学方法很容易理解。,a teaching method,A,0,0,A,,,,
174,million,名词,百万、数百万,百万；许多,A few million people visited the city.,数百万人がその町を訪れました。,数百万人访问了这座城市。,a few million,A,0,0,A,,,,
175,pigeon,名词,ハト,鸽子,A pigeon was sitting on the roof.,ハトが屋根の上に止まっていました。,一只鸽子停在屋顶上。,a homing pigeon,A,0,0,A,,,,
176,rock,名词,岩,岩石,We climbed over a huge rock.,私たちは巨大な岩を越えました。,我们爬过了一块巨大的岩石。,huge rock,A,0,0,A,,,,
177,service,名词,サービス、奉仕,服务；奉献,This hotel offers excellent service.,このホテルはすばらしいサービスを提供しています。,这家酒店提供优质服务。,offer services,A,0,0,A,,,,
178,uniform,名词,制服、ユニフォーム,制服,Students must wear a school uniform.,生徒は学校の制服を着なければなりません。,学生必须穿校服。,school uniform,A,0,0,A,,,,
179,war,名词,戦争,战争,Many people suffered during the war.,多くの人々が戦争中に苦しみました。,许多人在战争期间受苦。,be killed in a war,A,0,0,A,,,,
180,advice,名词,忠告、助言,建议；忠告,I followed my teacher's advice.,私は先生の助言に従いました。,我听从了老师的建议。,take one's advice,A,0,0,A,,,,
181,article,名词,記事,文章；报道,I read a newspaper article about space.,私は宇宙についての新聞記事を読みました。,我读了一篇关于太空的新闻报道。,a newspaper article,A,0,0,A,,,,
182,discovery,名词,発見,发现,The discovery of a new planet surprised everyone.,新しい惑星の発見は皆を驚かせました。,新行星的发现让大家吃惊。,the discovery of,A,0,0,A,,,,
183,event,名词,出来事、行事,事件；活动,The school event will be held tomorrow.,学校行事は明日行われます。,学校活动明天举行。,world events,A,0,0,A,,,,
184,flight,名词,定期航空便、フライト、飛行,航班；飞行,My flight was delayed by bad weather.,私の便は悪天候で遅れました。,我的航班因天气不好延误了。,a delayed flight,A,0,0,A,,,,
185,nature,名词,自然、性質,自然；性质,We should live in harmony with nature.,私たちは自然と調和して暮らすべきです。,我们应该与自然和谐相处。,in harmony with nature,A,0,0,A,,,,
186,navy,名词,海軍,海军,My uncle served in the navy.,私の叔父は海軍にいました。,我叔叔曾在海军服役。,the U.S. Navy,A,0,0,A,,,,
187,price,名词,価格、物価,价格；物价,The price of rice is rising.,米の価格が上がっています。,大米价格正在上涨。,at a high price,A,0,0,A,,,,
188,prize,名词,賞、賞品,奖；奖品,She won first prize in the contest.,彼女はコンテストで一等賞を取りました。,她在比赛中获得了一等奖。,give a prize,A,0,0,A,,,,
189,purpose,名词,目的,目的,The purpose of this trip is sightseeing.,この旅行の目的は観光です。,这次旅行的目的是观光。,for the purpose of,A,0,0,A,,,,
